time_s,speed_kmh,throttle_pct,brake,gap_s,active_aero,sector,lap,tyre_life
7116.945,192.98999999999796,94.97499999999488,0.0,0.44072497199847105,0.0,1,19,16.0
7117.945,206.99499999999898,100.0,0.0,0.4666682808368136,0.0,1,19,16.0
7118.945,219.74999999999787,99.0,0.0,0.4962674198428428,0.0,1,19,16.0
7119.945,220.0,99.0,0.0,0.5472979645446848,0.0,1,19,16.0
7120.945,179.71428571428572,6.428571428571429,1.0,0.39914042956744195,0.0,1,19,16.0
7121.945,168.98749999999745,61.64583333332907,0.0,0.4154113154253267,0.0,1,19,16.0
7122.945,192.0,100.0,0.0,0.5324296453407132,0.0,1,19,16.0
7123.945,223.97499999999488,99.0,0.0,0.6718122704844077,0.0,1,19,16.0
7124.945,247.38499999999692,99.89749999999948,0.0,0.8116231412994361,0.0,1,19,16.0
7125.945,272.16666666666606,100.0,0.0,0.8895335089624277,0.0,1,19,16.0
7126.945,284.1249999999968,99.0,0.0,0.958402223397984,0.0,1,19,16.0
7127.945,294.7142857142857,99.0,0.0,0.8774997743787171,0.0,1,19,16.0
7128.945,299.9937499999987,99.49687499999936,0.0,0.9073321279255244,0.0,1,19,16.0
7129.945,304.99687499999936,99.0,0.0,0.9147106912710367,0.0,1,19,16.0
7130.945,309.7437499999987,99.0,0.0,0.9220659516923287,0.0,1,19,16.0
7131.945,313.5499999999989,99.0,0.0,0.9739111874258236,0.0,1,19,16.0
7132.945,314.875,99.0,0.0,1.0099679258227898,0.0,1,19,16.0
7133.945,304.0,99.0,0.0,0.8661139849182075,0.0,1,19,16.0
7134.945,227.9678571428798,1.5785714285728902,1.0,0.6005196172692889,0.0,1,19,16.0
7135.945,171.0,12.899999999979537,0.0,0.5764117830269224,0.0,2,19,16.0
7136.945,177.73437499999682,81.45624999999104,0.0,0.6482696168136011,0.0,2,19,16.0
7137.945,206.24374999999873,80.46249999999233,0.0,0.678719518057296,0.0,2,19,16.0
7138.945,226.66108786610764,99.16736401673654,0.0,0.7517887928711575,0.0,2,19,16.0
7139.945,246.7142857142834,99.0,0.0,0.8210997964680586,0.0,2,19,16.0
7140.945,259.4999999999981,99.0,0.0,0.9879632408182154,0.0,2,19,16.0
7141.945,273.70357142856926,99.0,0.0,0.9380766551845794,0.0,2,19,16.0
7142.945,285.98333333332994,99.0,0.0,0.9848375478883554,0.0,2,19,16.0
7143.945,293.9937499999987,99.0,0.0,0.9946903433727148,0.0,2,19,16.0
7144.945,298.7437499999987,99.87187499999936,0.0,1.0042538042371019,0.0,2,19,16.0
7145.945,303.3749999999989,99.0,0.0,0.9908380544700388,0.0,2,19,16.0
7146.945,306.0,99.0,0.0,1.011303934038421,0.0,2,19,16.0
7147.945,310.9958506224058,99.0,0.0,0.9919140055767721,0.0,2,19,16.0
7148.945,313.2821428571421,99.0,0.0,0.9483825641168495,0.0,2,19,16.0
7149.945,313.68333333333675,99.0,0.0,0.8317333236635185,0.0,2,19,16.0
7150.945,268.2416666666934,43.75833333337483,1.0,0.5493420612710475,0.0,2,19,16.0
